date,medicine_id,quantity_sold,selling_price,promotion
2024-01-01,M001,75,6.5,0
2024-01-02,M001,85,6.5,0
2024-01-03,M001,86,6.5,0
2024-01-04,M001,85,6.5,0
2024-01-05,M001,84,6.5,0
2024-01-06,M001,83,6.5,0
2024-01-07,M001,75,6.5,0
2024-01-08,M001,75,6.5,0
2024-01-09,M001,80,6.5,0
2024-01-10,M001,79,6.5,0
2024-01-11,M001,79,6.5,0
2024-01-12,M001,81,6.5,0
2024-01-13,M001,78,6.5,0
2024-01-14,M001,80,6.5,0
2024-01-15,M001,83,6.5,0
2024-01-16,M001,78,6.5,0
2024-01-17,M001,80,6.5,0
2024-01-18,M001,81,6.5,0
2024-01-19,M001,85,6.5,0
2024-01-20,M001,78,6.5,0
2024-01-21,M001,84,6.5,1
2024-01-22,M001,93,6.5,1
2024-01-23,M001,95,6.5,1
2024-01-24,M001,105,6.5,1
2024-01-25,M001,99,6.5,1
2024-01-26,M001,105,6.5,1
2024-01-27,M001,86,6.5,0
2024-01-28,M001,80,6.5,0
2024-01-29,M001,84,6.5,0
2024-01-30,M001,87,6.5,0
2024-01-31,M001,80,6.5,0
2024-02-01,M001,65,6.5,0
2024-02-02,M001,65,6.5,0
2024-02-03,M001,59,6.5,0
2024-02-04,M001,58,6.5,0
2024-02-05,M001,61,6.5,0
2024-02-06,M001,61,6.5,0
2024-02-07,M001,62,6.5,0
2024-02-08,M001,62,6.5,0
2024-02-09,M001,61,6.5,0
2024-02-10,M001,58,6.5,0
2024-02-11,M001,56,6.5,0
2024-02-12,M001,60,6.5,0
2024-02-13,M001,62,6.5,0
2024-02-14,M001,62,6.5,0
2024-02-15,M001,61,6.5,0
2024-02-16,M001,62,6.5,0
2024-02-17,M001,56,6.5,0
2024-02-18,M001,58,6.5,0
2024-02-19,M001,63,6.5,0
2024-02-20,M001,61,6.5,0
2024-02-21,M001,61,6.5,0
2024-02-22,M001,63,6.5,0
2024-02-23,M001,64,6.5,0
2024-02-24,M001,62,6.5,0
2024-02-25,M001,58,6.5,0
2024-02-26,M001,61,6.5,0
2024-02-27,M001,62,6.5,0
2024-02-28,M001,62,6.5,0
2024-02-29,M001,62,6.5,0
2024-03-01,M001,64,6.5,0
2024-03-02,M001,61,6.5,0
2024-03-03,M001,57,6.5,0
2024-03-04,M001,60,6.5,0
2024-03-05,M001,58,6.5,0
2024-03-06,M001,61,6.5,0
2024-03-07,M001,64,6.5,0
2024-03-08,M001,62,6.5,0
2024-03-09,M001,62,6.5,0
2024-03-10,M001,72,6.5,1
2024-03-11,M001,83,6.5,1
2024-03-12,M001,81,6.5,1
2024-03-13,M001,76,6.5,1
2024-03-14,M001,70,6.5,1
2024-03-15,M001,75,6.5,1
2024-03-16,M001,64,6.5,0
2024-03-17,M001,62,6.5,0
2024-03-18,M001,62,6.5,0
2024-03-19,M001,65,6.5,0
2024-03-20,M001,62,6.5,0
